Code,Entity,Region
AFG,Afghanistan,Middle East & North Africa
ALB,Albania,Europe & Central Asia
DZA,Algeria,Middle East & North Africa
ASM,American Samoa,East Asia & Pacific
AND,Andorra,Europe & Central Asia
AGO,Angola,Sub-Saharan Africa
ATG,Antigua and Barbuda,Latin America & Caribbean
ARG,Argentina,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia
ABW,Aruba,Latin America & Caribbean
AUS,Australia,East Asia & Pacific
AUT,Austria,Europe & Central Asia
AZE,Azerbaijan,Europe & Central Asia
BHS,Bahamas,Latin America & Caribbean
BHR,Bahrain,Middle East & North Africa
BGD,Bangladesh,South Asia
BRB,Barbados,Latin America & Caribbean
BLR,Belarus,Europe & Central Asia
BEL,Belgium,Europe & Central Asia
BLZ,Belize,Latin America & Caribbean
BEN,Benin,Sub-Saharan Africa
BMU,Bermuda,Latin America & Caribbean
BTN,Bhutan,South Asia
BOL,Bolivia,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Europe & Central Asia
BWA,Botswana,Sub-Saharan Africa
BRA,Brazil,Latin America & Caribbean
VGB,British Virgin Islands,Latin America & Caribbean
BRN,Brunei,East Asia & Pacific
BGR,Bulgaria,Europe & Central Asia
BFA,Burkina Faso,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
KHM,Cambodia,East Asia & Pacific
CMR,Cameroon,Sub-Saharan Africa
CAN,Canada,North America
CPV,Cape Verde,Sub-Saharan Africa
CYM,Cayman Islands,Latin America & Caribbean
CAF,Central African Republic,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
OWID_CIS,Channel Islands,Europe & Central Asia
CHL,Chile,Latin America & Caribbean
CHN,China,East Asia & Pacific
COL,Colombia,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
CRI,Costa Rica,Latin America & Caribbean
CIV,Cote d'Ivoire,Sub-Saharan Africa
HRV,Croatia,Europe & Central Asia
CUB,Cuba,Latin America & Caribbean
CUW,Curacao,Latin America & Caribbean
CYP,Cyprus,Europe & Central Asia
CZE,Czechia,Europe & Central Asia
OWID_CZS,Czechoslovakia,Europe & Central Asia
COD,Democratic Republic of Congo,Sub-Saharan Africa
DNK,Denmark,Europe & Central Asia
DJI,Djibouti,Sub-Saharan Africa
DMA,Dominica,Latin America & Caribbean
DOM,Dominican Republic,Latin America & Caribbean
ECU,Ecuador,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa
SLV,El Salvador,Latin America & Caribbean
GNQ,Equatorial Guinea,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa
EST,Estonia,Europe & Central Asia
SWZ,Eswatini,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
FRO,Faeroe Islands,Europe & Central Asia
FJI,Fiji,East Asia & Pacific
FIN,Finland,Europe & Central Asia
FRA,France,Europe & Central Asia
PYF,French Polynesia,East Asia & Pacific
GAB,Gabon,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GEO,Georgia,Europe & Central Asia
DEU,Germany,Europe & Central Asia
GHA,Ghana,Sub-Saharan Africa
GIB,Gibraltar,Europe & Central Asia
GRC,Greece,Europe & Central Asia
GRL,Greenland,Europe & Central Asia
GRD,Grenada,Latin America & Caribbean
GUM,Guam,East Asia & Pacific
GTM,Guatemala,Latin America & Caribbean
GIN,Guinea,Sub-Saharan Africa
